Time / s,Power / W
1059,-11430.317193930041
1060,-7854.20411546687
1061,-3648.8405807232125
1062,-473.09876543209947
1063,1266.0191216397086
1064,3711.634943453742
1065,8386.553419753085
1066,11680.945212303288
1067,8791.93877932099
1068,4362.535253600825
1069,4475.704333333329
1070,7962.780674897122
1071,12276.508444444447
1072,16006.43504166666
1073,20747.99008587915
1074,27391.87802539391
1075,32858.41696346069
1076,33220.79846860472
1077,29898.06953160961
1078,26006.851765432104
1079,24080.366559825598
1080,20555.302975308656
1081,12965.261922363197
1082,4866.670331790118
1083,-3780.581804114755
1084,-8386.490273212457
1085,-4608.1362567134265
1086,1833.5313283226817
1087,5048.894839982478
1088,5466.303908795805
1089,5078.532004115204
1090,4675.239823045267
1091,5885.116366255162
1092,9987.423169303003
1093,15579.496258128058
1094,17371.846704363372
1095,13940.744405864198
1096,9340.50649569663
1097,4563.498114776224
1098,-1591.5384269380666
1099,-8482.730639643833
1100,-9170.426313464499
1101,-2986.1629326298316
1102,4218.286652644409
1103,11934.499082304545
1104,19327.975534846064
1105,21000.80845500637
1106,15082.016633294768
1107,7747.704788773181
1108,1102.7195264441416
1109,-5075.763392644531
1110,-4635.496361072994
1111,2086.167172839496
1112,10925.54140156083
1113,22411.078108920134
1114,29850.544220395608
1115,25241.600518213727
1116,14457.365193549016
1117,5941.057463203456
1118,-1257.2886032021984
1119,-5073.033760352326
1120,-2786.784240547799
1121,365.2808554907679
1122,-127.02826601078968
1123,-5527.972966494721
1124,-14609.719558603909
1125,-25713.63619000774
1126,-33241.84168672839
1127,-33111.02652719429
1128,-29221.97848178631
1129,-22231.075643544715
1130,-15696.60617297288
1131,-12527.897519916462
1132,-11195.1131463001
1133,-10948.298609186862
1134,-10134.47726385079
1135,-7909.524004934459
1136,-4537.697261204942
1137,-1367.62802276711
1138,421.4577923144349
1139,1111.348931686767
1140,1536.3500293590903
1141,2626.6448896009556
1142,5333.43705730834
1143,8978.981583607208
1144,9371.36152102623
1145,5161.68159015394
1146,-1553.1561127876835
1147,-10316.470294736419
1148,-9731.130608539093
1149,-4418.963533436212
1150,-884.6213991769553
1151,596.8600823045268
1152,2160.64609053498
1153,7180.362327786828
1154,15412.16146608749
1155,20294.943600496783
1156,19463.323067691654
1157,21457.63923100519
1158,27503.71329985902
1159,34687.49298409159
1160,38300.25460590277
1161,36846.40134615531
1162,35060.54933388586
1163,35439.78000417954
1164,36377.81770357037
1165,37152.00818518517
1166,29356.66277198595
1167,20550.431310490032
1168,23592.250324862365
1169,26481.87256121404
1170,25653.163789454247
1171,25269.422011638348
1172,24254.75868055554
1173,23107.604842275858
1174,22448.403262114665
1175,21143.951868827164
1176,19727.23975212193
1177,19426.491714608543
1178,20909.928495568016
1179,22497.19189074884
1180,22894.417581597227
1181,22678.477038735084
1182,21165.85419286319
1183,19547.213424613707
1184,18500.55471915244
1185,16768.481643651867
1186,13676.614140715483
1187,11760.976280633195
1188,11760.976280633195
1189,11760.976280633195
1190,11760.976280633195
1191,11760.976280633195
1192,11760.976280633195
1193,11760.976280633195
1194,11760.976280633195
1195,12399.522233994017
1196,12428.442204084802
1197,12428.442204084711
1198,15017.083202353397
1199,17715.08626464386
1200,20473.50076594649
1201,22731.30857291187
1202,21739.993700407755
1203,19331.322714982478
1204,16823.059964029835
1205,14895.716118446107
1206,14262.026589179928
1207,14293.68433333336
1208,14325.39448026456
1209,13689.11867510675
1210,13021.080266327544
1211,13021.080266327544
1212,12353.041857548338
1213,12323.336867095759
1214,12990.689404818724
1215,12990.689404818724
1216,12323.336867095855
1217,11627.017666666656
1218,11598.10340673819
1219,11569.241495675284
1220,10875.82282606741
1221,9493.257382399317
1222,8752.447543514658
1223,8016.2206742802955
1224,8573.261465213518
1225,9832.54431578405
1226,10432.91102637986
1227,10405.668046944085
1228,10351.336007754175
1229,10324.246840175398
1230,9620.702049227884
1231,10216.401258680578
1232,11484.491920134167
1233,11484.491920134076
1234,11456.337178524087
1235,10809.56077248846
1236,9463.9661675836
1237,7480.028535301003
1238,4799.190138679267
1239,2765.738159426886
1240,1988.6814509983276
1241,2494.489311797426
1242,2993.1068533950825
1243,2885.6558641975503
1244,2762.503268749544
1245,3267.1898334357243
1246,2556.8626726418593
1247,1840.6188646738858
1248,1730.9363063914316
1249,1623.5441053192803
1250,2103.4717805046107
1251,2591.980395945251
1252,2497.084894959311
1253,2403.8216434590504
1254,2312.1789963824963
1255,2222.145308668159
1256,2133.7089352542366
1257,2046.858231078996
1258,1961.5815510807874
1259,2425.8782241345984
1260,3443.0352714715455
1261,4464.390458295216
1262,6573.103896888356
1263,8732.225981936323
1264,10375.872508611446
1265,11534.090521364455
1266,11067.177932651273
1267,10571.84612513332
1268,9526.617387345696
1269,7337.316975823032
1270,5658.265878219784
1271,4515.1824213654245
1272,3906.392793917199
1273,4380.588282381198
1274,4867.166428193145
1275,5350.00878259555
1276,6913.3117519933
1277,8512.077184092052
1278,9067.510351642297
1279,9624.357205092107
1280,10206.626890415382
1281,9180.69737094909
1282,8643.660333912083
1283,8665.738291114207
1284,8128.015383020884
1285,7052.5695668343105
